id,lat,lon
25365238,55.706953,12.6683513
25365239,55.7053351,12.6688283
25365240,55.7037063,12.6692729
25365241,55.7020786,12.6696457
25365242,55.7004493,12.6699663
25365243,55.6988155,12.6702183
25365244,55.6971744,12.6704306
25365245,55.6955363,12.6705914
25365246,55.6938958,12.6707087
25365247,55.6922533,12.670758
25365248,55.6906131,12.6707493
25365249,55.6889612,12.6706965
25365250,55.6873209,12.670596
25365251,55.6856867,12.6704406
25365252,55.6840415,12.6702327
25365253,55.6824029,12.6699622
25365255,55.6791487,12.6692672
25365256,55.6775172,12.6688462
25365257,55.675894,12.6683603
312183170,51.6983397,1.5006927
548139984,55.6807715,12.6696296
564479924,52.579553,4.435541
564767155,52.6274167,4.3667778
564767166,52.6229722,4.3729167
564767170,52.6186111,4.3791667
564767174,52.6141389,4.3851944
564767183,52.6097222,4.3913333
564767187,52.5961944,4.4486389
564767190,52.5917778,4.4548333
564767199,52.60225,4.421
564767202,52.5819167,4.4491944
564767209,52.5863333,4.4430833
564767216,52.59075,4.4369444
564767218,52.5951667,4.4308333
564767220,52.6008056,4.4036944
564767224,52.5963889,4.4098333
564767228,52.5919722,4.4159444
564767231,52.5875278,4.4220833
564767235,52.5831944,4.4281111
564767244,52.602,4.4598889
564767249,52.6006667,4.4425278
564767253,52.6199444,4.3964722
564767261,52.6066667,4.4148889
564767266,52.6110833,4.40875
564767270,52.6155278,4.4026111
564767277,52.6132222,4.4444444
564767280,52.6053056,4.3974722
564767282,52.6226944,4.4313056
564767291,52.6182778,4.4374444
564767294,52.6213056,4.4138889
564767298,52.6075,4.4330556
564767309,52.6124722,4.4261667
564767314,52.6168889,4.4200278
564767319,52.6271111,4.4251944
564767323,52.6315278,4.4190556
564767333,52.62575,4.40775
564767337,52.6064722,4.4538056
599550532,52.6045919,4.2407959
715385948,54.021671,6.6183329
715385953,54.0143405,6.6063457
715385957,54.000332,6.6071656
715385961,54.0075036,6.6067459
715385964,54.021671,6.5935001
715385968,54.000332,6.5944982
715385970,54.000332,6.619833
715385973,54.0075036,6.6193289
715385977,54.0143405,6.593843
715385981,54.0143405,6.6188483
715385985,54.021671,6.6059165
715385988,54.0075036,6.5941628
793715614,54.5322074,11.7333165
793715615,54.5251932,11.7597997
793715618,54.5452441,11.7332908
793715619,54.5463065,11.6804194
793715620,54.5596564,11.720068
793715621,54.5681521,11.6804908
793715622,54.5392452,11.7068565
793715623,54.5291962,11.720088
793715624,54.5523173,11.7068651
793715625,54.5425284,11.7597194
793715626,54.5555296,11.7596594
793715628,54.5362279,11.6936223
793715629,54.5265276,11.7465623
793715630,54.5509534,11.7200737
793715631,54.546602,11.7200765
793715632,54.5419373,11.6804051
793715633,54.5582807,11.7332651
793715634,54.5511959,11.7596794
793715635,54.5405913,11.6936308
793715636,54.5389083,11.6671594
793715637,54.5536809,11.6936565
793715638,54.5438863,11.7465051
793715639,54.5653892,11.7068739
793715640,54.5525656,11.7464765
793715641,54.5348879,11.7068537
793715643,54.5564085,11.6672394
793715644,54.5432833,11.6671794
793715645,54.5624074,11.6936737
793715647,54.5365529,11.733308
793715648,54.5375682,11.6803908
793715650,54.5395466,11.7465194
793715651,54.5667706,11.6936823
793715652,54.5594138,11.6804622
793715653,54.5338608,11.7597594
793715656,54.5550448,11.680448
793715657,54.5422505,11.7200794
793715658,54.5610319,11.7068708
793715659,54.5378991,11.7200823
793715660,54.5331991,11.6803765
793715663,54.5381947,11.7597394
793715664,54.5626263,11.7332565
793715665,54.5607834,11.6672594
793715667,54.535207,11.7465337
793715668,54.5305305,11.7068508
793715669,54.5506755,11.6804337
793715670,54.5408985,11.7332994
793715671,54.5598635,11.7596394
793715672,54.5345333,11.6671395
793715674,54.5479599,11.7068623
793715675,54.5640078,11.7200651
793715676,54.5566746,11.706868
793715677,54.5468622,11.7596994
793715678,54.5308673,11.746548
793715679,54.5318647,11.6936137
793715680,54.5520335,11.6672194
793715681,54.5449545,11.6936394
793715682,54.5612449,11.746448
793715683,54.5539352,11.7332737
793715684,54.563783,11.6804766
793715685,54.5335477,11.7200851
793715686,54.5695336,11.6672994
793715688,54.5493177,11.693648
793715689,54.5476584,11.6671994
793715690,54.5580441,11.6936651
793715691,54.5495897,11.7332822
793715692,54.529527,11.7597794
793715693,54.5278619,11.7333251
793715695,54.5436025,11.7068594
793715696,54.5569053,11.7464623
793715697,54.5553048,11.7200708
939853697,57.4419769,10.5653649
1138231015,56.6531837,8.2254538
1138231020,56.6580791,8.2228145
1138231021,56.6679363,8.2175359
1138231027,56.6556017,8.224102
1138231030,56.6605433,8.2214841
1138231032,56.6654713,8.2188448
1138231035,56.662995,8.2202181
1219742368,55.6023251,12.4611053
1219742386,55.6018284,12.4682845
1293358078,54.6165833,12.6423889
1293358085,54.6203333,12.65475
1293358088,54.5893611,12.63
1293358089,54.6109167,12.63
1293358096,54.5839722,12.63
1293358099,54.5950278,12.6423889
1293358100,54.59475,12.63
1293358108,54.6004167,12.6423889
1293358111,54.6001389,12.63
1293358113,54.6306667,12.6918889
1293358116,54.6181944,12.6671389
1293358119,54.6055278,12.63
1293358123,54.62175,12.6795
1293358125,54.6235833,12.6671389
1293358128,54.6058056,12.6423889
1293358135,54.6271389,12.6795
1293358136,54.6044722,12.6550833
1293358137,54.6111944,12.6423889
1293358143,54.6149444,12.65475
1293358146,54.6128056,12.6671389
1293358148,54.6095556,12.65475
1664155460,55.9649377,10.3584264
1664155462,55.9656048,10.3520512
1664155463,55.9667373,10.3584712
1664155465,55.9673998,10.3521001
1664155475,55.9685333,10.3585143
1664155476,55.9691973,10.3521465
1664155478,55.9703303,10.3585512
1664155482,55.9710131,10.3521534
1664155484,55.9721302,10.3586055
1664155485,55.9728104,10.3521999
1704295812,55.4683138,7.8049924
